feat1,feat2,feat3,feat4,feat5
1.000000000000000000e+00,6.820029766458766129e-01,4.858114301035958427e-01,4.030144280177014315e-01,3.433303505719071391e-01
1.000000000000000000e+00,7.171739540551907988e-01,5.278972679623629150e-01,4.487007072075703262e-01,3.901655663193344670e-01
1.000000000000000000e+00,7.366657804945889731e-01,5.527644427546167805e-01,4.757266954466704001e-01,4.178219626975558931e-01
1.000000000000000000e+00,7.498817976158670406e-01,5.700256881263440212e-01,4.949945711164591144e-01,4.382939293496342370e-01
1.000000000000000000e+00,7.601639867435122655e-01,5.833171929501180797e-01,5.097694401743284587e-01,4.542365493154108536e-01
1.000000000000000000e+00,7.681907318953038466e-01,5.940077960283290937e-01,5.219995923814390038e-01,4.670920419902581111e-01
1.000000000000000000e+00,7.748601186741812530e-01,6.029987299778728493e-01,5.322691157208614410e-01,4.780408045532866246e-01
1.000000000000000000e+00,7.804728935453474348e-01,6.108048820683027458e-01,5.410700661863129257e-01,4.874526141602119056e-01
1.000000000000000000e+00,7.853488810534851039e-01,6.175998204960303495e-01,5.486804587077722672e-01,4.957000350831446411e-01
1.000000000000000000e+00,7.896896373459545426e-01,6.235467975144427522e-01,5.554395518297420287e-01,5.030754777583102966e-01
1.000000000000000000e+00,7.935480234522740428e-01,6.289345162845180193e-01,5.615714186674899411e-01,5.095961041538156211e-01
1.000000000000000000e+00,7.969861969897629184e-01,6.338404741598598902e-01,5.670940472035739255e-01,5.156277186659392608e-01
1.000000000000000000e+00,8.001382528061538046e-01,6.381987298858604607e-01,5.721696199281485207e-01,5.211525153839039470e-01
1.000000000000000000e+00,8.030361318224046308e-01,6.422907038636919141e-01,5.768232052042294722e-01,5.261936637837544284e-01
1.000000000000000000e+00,8.057046363379480880e-01,6.460559686604054885e-01,5.811270136215394011e-01,5.308382557125137513e-01
1.000000000000000000e+00,8.081709188733174898e-01,6.495651272222985328e-01,5.851385658977799054e-01,5.351898844775240249e-01
1.000000000000000000e+00,8.104718419779245453e-01,6.528228275580495454e-01,5.888739065334184231e-01,5.392346882057333923e-01
1.000000000000000000e+00,8.126028281017430022e-01,6.558901992935800562e-01,5.923871687215801485e-01,5.430729497265974759e-01
1.000000000000000000e+00,8.145973736687568412e-01,6.587720995867756280e-01,5.957105411256479188e-01,5.466575688616196471e-01
1.000000000000000000e+00,8.164893290110692980e-01,6.615139516193671021e-01,5.988368868459601480e-01,5.500568637517491144e-01
1.000000000000000000e+00,8.182988766405364656e-01,6.640531464458960809e-01,6.017995159344100564e-01,5.532603562250963947e-01
1.000000000000000000e+00,8.199871499274169473e-01,6.664666591588829236e-01,6.045854565114323620e-01,5.563127511034502426e-01
1.000000000000000000e+00,8.215904690036978097e-01,6.688069326396287595e-01,6.072655290252499949e-01,5.592112596977473205e-01
1.000000000000000000e+00,8.231168867610760831e-01,6.709957304784693877e-01,6.097934690852924167e-01,5.619831346797329319e-01
1.000000000000000000e+00,8.245658018921839805e-01,6.731172320048618429e-01,6.122225133960286225e-01,5.646048036195314701e-01
1.000000000000000000e+00,8.259483145952424277e-01,6.751435757591651710e-01,6.145203996050406792e-01,5.671452604218254478e-01
1.000000000000000000e+00,8.272907627212057191e-01,6.771008539472419541e-01,6.167523064082720552e-01,5.695674741571011834e-01
1.000000000000000000e+00,8.285788023140664427e-01,6.789687507191123350e-01,6.188679626064190753e-01,5.718989039346223935e-01
1.000000000000000000e+00,8.298008266371471597e-01,6.807382586002030944e-01,6.209536587965412968e-01,5.741018396190840090e-01
1.000000000000000000e+00,8.309826470462202685e-01,6.824658604632256598e-01,6.229089189108879543e-01,5.762547786856532239e-01
1.000000000000000000e+00,8.321167177876850340e-01,6.841137829072220233e-01,6.248141025950679772e-01,5.783397712770474985e-01
1.000000000000000000e+00,8.332022749593995803e-01,6.856947721508646065e-01,6.266759103703695155e-01,5.803359806139790633e-01
1.000000000000000000e+00,8.342489464129599908e-01,6.872546532687990872e-01,6.284577833030542404e-01,5.822688690549514545e-01
1.000000000000000000e+00,8.352528665974814359e-01,6.887458171366639403e-01,6.301755473971707433e-01,5.841623545043239663e-01
