w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15
1.754837199999999939e+03,6.634099999999999682e+02,1.013755499999999984e+03,1.772606999999999971e+03,6.615970999999999549e+02,9.983282000000000380e+02,3.877044199999999819e+03,2.983490800000000036e+03,1.139166400000000067e+03,1.132524599999999964e+03,8.048170000000000073e+02,8.035362000000000080e+02,9.509530999999999494e+02,9.725585999999999558e+02,5.380661999999999807e+02,5.249129000000000360e+02
1.770162399999999934e+03,6.819207000000000107e+02,9.960434000000000196e+02,1.781036200000000008e+03,6.832930000000000064e+02,9.809206000000000358e+02,3.848699799999999868e+03,3.040676500000000033e+03,1.132971399999999903e+03,1.123707799999999907e+03,7.965746000000000322e+02,7.984460000000000264e+02,9.624194999999999709e+02,9.796490999999999758e+02,5.571609999999999445e+02,5.444469000000000278e+02
1.778432600000000093e+03,7.069392000000000280e+02,9.772578999999999496e+02,1.785573799999999892e+03,7.034076999999999771e+02,9.680475000000000136e+02,3.823495499999999993e+03,3.092163199999999961e+03,1.128251500000000078e+03,1.114577800000000025e+03,7.887688000000000557e+02,7.948973999999999478e+02,9.694296000000000504e+02,9.851992000000000189e+02,5.771798000000000002e+02,5.633546000000000049e+02
1.793432000000000016e+03,7.281928000000000338e+02,9.583962999999999965e+02,1.791434600000000046e+03,7.327254000000000360e+02,9.515778000000000247e+02,3.788163500000000113e+03,3.163595400000000154e+03,1.116905799999999999e+03,1.105851799999999912e+03,7.811634999999999991e+02,7.872423999999999751e+02,9.858287000000000262e+02,9.923486000000000331e+02,5.971231000000000222e+02,5.912949999999999591e+02
1.806046900000000051e+03,7.550815999999999804e+02,9.376389000000000351e+02,1.803526299999999992e+03,7.609737999999999829e+02,9.344931000000000267e+02,3.751331000000000131e+03,3.242429599999999937e+03,1.105569999999999936e+03,1.097012799999999970e+03,7.732276000000000522e+02,7.785205999999999449e+02,9.995267999999999802e+02,1.005408300000000054e+03,6.214429999999999836e+02,6.190515000000000327e+02
1.814353499999999940e+03,7.856221000000000458e+02,9.218143999999999778e+02,1.815027199999999993e+03,7.867536000000000058e+02,9.183166999999999689e+02,3.717329400000000078e+03,3.320558100000000195e+03,1.094625099999999975e+03,1.088472700000000032e+03,7.669728000000000065e+02,7.702587999999999511e+02,1.011825799999999958e+03,1.017249500000000012e+03,6.493663000000000238e+02,6.451164999999999736e+02
1.830320999999999913e+03,8.108425999999999476e+02,9.038650999999999840e+02,1.821988299999999981e+03,8.197419999999999618e+02,9.008414000000000215e+02,3.678150599999999940e+03,3.405449799999999868e+03,1.083953199999999924e+03,1.077467499999999973e+03,7.577676000000000158e+02,7.619623000000000275e+02,1.029270500000000084e+03,1.027979599999999891e+03,6.750374000000000478e+02,6.761622999999999593e+02
1.847597199999999930e+03,8.385836000000000467e+02,8.864842999999999620e+02,1.831102200000000039e+03,8.558690000000000282e+02,8.830820999999999685e+02,3.634170000000000073e+03,3.504548400000000129e+03,1.070493500000000040e+03,1.065871900000000096e+03,7.478876999999999953e+02,7.529169000000000551e+02,1.051662199999999984e+03,1.040364700000000084e+03,7.036217000000000326e+02,7.118998000000000275e+02
1.849484300000000076e+03,8.766930999999999585e+02,8.716077000000000226e+02,1.843002400000000080e+03,8.884111000000000331e+02,8.628397999999999683e+02,3.590667800000000170e+03,3.597370600000000195e+03,1.056549400000000105e+03,1.055306499999999915e+03,7.408073000000000548e+02,7.410045999999999822e+02,1.062267399999999952e+03,1.057126199999999926e+03,7.391609999999999445e+02,7.418160000000000309e+02
1.859612200000000030e+03,9.077255999999999858e+02,8.567327000000000226e+02,1.850577399999999898e+03,9.248500999999999976e+02,8.486635999999999740e+02,3.551531700000000001e+03,3.692629899999999907e+03,1.045395899999999983e+03,1.043892000000000053e+03,7.324047000000000480e+02,7.328391000000000304e+02,1.077012099999999919e+03,1.071129699999999957e+03,7.702577999999999747e+02,7.772303000000000566e+02
