w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15
1.550650000000000091e+03,9.118400000000000318e+02,6.928917000000000144e+02,1.549613399999999956e+03,9.185381999999999607e+02,6.815540999999999485e+02,3.014193499999999858e+03,3.286893900000000031e+03,1.030348999999999933e+03,1.006112399999999980e+03,4.839259000000000128e+02,4.968061999999999898e+02,1.046961800000000039e+03,1.065222999999999956e+03,5.951449999999999818e+02,5.825641000000000531e+02
1.568559899999999971e+03,9.315724000000000160e+02,6.782821999999999889e+02,1.563239700000000084e+03,9.408282000000000380e+02,6.649715999999999667e+02,2.996984399999999823e+03,3.346469599999999900e+03,1.026187899999999900e+03,9.977318000000000211e+02,4.798466000000000236e+02,4.962180999999999926e+02,1.055653900000000021e+03,1.072975599999999986e+03,6.177260999999999740e+02,6.031140000000000327e+02
1.579968599999999924e+03,9.584994000000000369e+02,6.644043000000000347e+02,1.577134199999999964e+03,9.629147000000000389e+02,6.501559999999999491e+02,2.975649300000000039e+03,3.413427900000000136e+03,1.019737799999999993e+03,9.885182999999999538e+02,4.766197000000000230e+02,4.937735000000000127e+02,1.063310600000000022e+03,1.082467300000000023e+03,6.442042000000000144e+02,6.264457999999999629e+02
1.600104499999999916e+03,9.807376000000000431e+02,6.492243999999999460e+02,1.587270700000000033e+03,9.928337000000000216e+02,6.351779000000000224e+02,2.947526400000000194e+03,3.493822400000000016e+03,1.009136399999999981e+03,9.788798000000000457e+02,4.724597999999999729e+02,4.900504000000000246e+02,1.080812500000000000e+03,1.090093499999999949e+03,6.686577999999999520e+02,6.572586000000000013e+02
1.616228699999999890e+03,1.010887600000000020e+03,6.315489000000000033e+02,1.604962399999999889e+03,1.022302199999999971e+03,6.195837999999999965e+02,2.921253400000000056e+03,3.580260200000000168e+03,9.976879999999999882e+02,9.714673999999999978e+02,4.699426000000000272e+02,4.851553999999999860e+02,1.093969200000000001e+03,1.103407899999999927e+03,6.980653999999999542e+02,6.878176999999999452e+02
1.634268800000000056e+03,1.040401800000000094e+03,6.164211000000000240e+02,1.619090500000000020e+03,1.051677200000000084e+03,6.064750000000000227e+02,2.898234399999999823e+03,3.666099999999999909e+03,9.890452000000000226e+02,9.636966999999999643e+02,4.666369000000000256e+02,4.818555999999999813e+02,1.109216400000000021e+03,1.113019500000000107e+03,7.271932000000000471e+02,7.196708999999999605e+02
1.655122200000000021e+03,1.067122699999999895e+03,5.999990000000000236e+02,1.628172900000000027e+03,1.087988599999999906e+03,5.935766999999999598e+02,2.869725699999999961e+03,3.758256400000000212e+03,9.789324000000000296e+02,9.535897999999999683e+02,4.615926999999999794e+02,4.786107999999999834e+02,1.127496300000000019e+03,1.122415199999999913e+03,7.552224999999999682e+02,7.561223999999999705e+02
1.676401800000000094e+03,1.097090899999999920e+03,5.859338999999999942e+02,1.637266300000000001e+03,1.125520700000000033e+03,5.790280000000000200e+02,2.840464100000000144e+03,3.856777500000000146e+03,9.707333999999999605e+02,9.409506000000000085e+02,4.558399000000000001e+02,4.759402000000000044e+02,1.147402700000000095e+03,1.132026599999999917e+03,7.864506000000000085e+02,7.938976000000000113e+02
1.683374399999999923e+03,1.132927500000000009e+03,5.747602000000000544e+02,1.651248100000000022e+03,1.159710900000000038e+03,5.662065999999999804e+02,2.807794100000000071e+03,3.956433599999999842e+03,9.583309000000000424e+02,9.302917999999999665e+02,4.515971000000000117e+02,4.705742999999999938e+02,1.158221600000000080e+03,1.148193700000000035e+03,8.239125000000000227e+02,8.291058000000000447e+02
1.698127199999999903e+03,1.169011500000000069e+03,5.609564000000000306e+02,1.664157200000000103e+03,1.196896799999999985e+03,5.547119000000000142e+02,2.775014599999999973e+03,4.064846399999999903e+03,9.477223999999999933e+02,9.178884000000000469e+02,4.465104000000000042e+02,4.658933999999999855e+02,1.173038800000000037e+03,1.164514499999999998e+03,8.618234999999999673e+02,8.684696000000000140e+02
