w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15
1.650174999999999955e+03,7.931653999999999769e+02,7.830037999999999556e+02,1.669929300000000012e+03,7.877255999999999858e+02,7.732342999999999620e+02,3.247937300000000050e+03,3.205296100000000024e+03,1.044651800000000094e+03,1.037100699999999961e+03,5.853369000000000142e+02,5.838478999999999814e+02,1.020030300000000011e+03,1.044877899999999954e+03,5.773251999999999953e+02,5.660626999999999498e+02
1.666007700000000114e+03,8.133103999999999587e+02,7.682424999999999500e+02,1.680808899999999994e+03,8.093853000000000293e+02,7.560180000000000291e+02,3.221576900000000023e+03,3.268195900000000165e+03,1.037917500000000018e+03,1.027432399999999916e+03,5.792731999999999744e+02,5.799538000000000011e+02,1.031709000000000060e+03,1.053293100000000095e+03,5.996608999999999696e+02,5.865329000000000406e+02
1.675972899999999981e+03,8.398736000000000104e+02,7.510950000000000273e+02,1.690279899999999998e+03,8.312849999999999682e+02,7.425125000000000455e+02,3.204784099999999853e+03,3.322234800000000178e+03,1.034211000000000013e+03,1.020555399999999963e+03,5.747816000000000258e+02,5.782360999999999649e+02,1.036964300000000094e+03,1.059398200000000088e+03,6.219846000000000004e+02,6.068876999999999953e+02
1.691502700000000004e+03,8.657818999999999505e+02,7.343975000000000364e+02,1.701807399999999916e+03,8.593013999999999442e+02,7.246648999999999887e+02,3.176945099999999911e+03,3.396510699999999815e+03,1.023232899999999972e+03,1.013868299999999977e+03,5.709179000000000315e+02,5.719260000000000446e+02,1.052288399999999911e+03,1.067141599999999926e+03,6.462428999999999633e+02,6.338378000000000156e+02
1.706474699999999984e+03,8.942621000000000322e+02,7.157890999999999622e+02,1.717475400000000036e+03,8.890235000000000127e+02,7.091109999999999900e+02,3.146509500000000116e+03,3.481626299999999901e+03,1.011702900000000000e+03,1.005755899999999997e+03,5.655810999999999922e+02,5.664696000000000140e+02,1.066253300000000081e+03,1.081010500000000093e+03,6.739886000000000195e+02,6.633739000000000487e+02
1.718191800000000057e+03,9.239791000000000167e+02,7.012116999999999507e+02,1.729037700000000086e+03,9.183685000000000400e+02,6.934397000000000162e+02,3.116823499999999967e+03,3.563405000000000200e+03,1.002652799999999957e+03,9.959361999999999853e+02,5.599631000000000540e+02,5.612713999999999714e+02,1.078527700000000095e+03,1.092435500000000047e+03,7.032390000000000327e+02,6.922028000000000247e+02
1.737418799999999919e+03,9.518645999999999958e+02,6.843486000000000331e+02,1.738748700000000099e+03,9.506473999999999478e+02,6.792901000000000522e+02,3.085847200000000157e+03,3.652471000000000004e+03,9.929088000000000420e+02,9.863759000000000015e+02,5.544489999999999554e+02,5.551135000000000446e+02,1.096580699999999979e+03,1.102249299999999948e+03,7.306934999999999718e+02,7.259474999999999909e+02
1.753231500000000096e+03,9.842391999999999825e+02,6.693636000000000195e+02,1.749433099999999968e+03,9.862165999999999713e+02,6.630656000000000176e+02,3.048949500000000171e+03,3.752600100000000111e+03,9.819823999999999842e+02,9.739604000000000497e+02,5.465021000000000413e+02,5.495045999999999822e+02,1.115209399999999960e+03,1.115393800000000056e+03,7.641403999999999996e+02,7.608564999999999827e+02
1.759176600000000008e+03,1.020113100000000031e+03,6.553053999999999633e+02,1.761343599999999924e+03,1.019699100000000044e+03,6.487613000000000056e+02,3.014628700000000208e+03,3.845770399999999881e+03,9.695516000000000076e+02,9.643338999999999714e+02,5.416240999999999985e+02,5.421191000000000031e+02,1.125818800000000010e+03,1.130300999999999931e+03,7.986005999999999858e+02,7.940499999999999545e+02
1.773492899999999963e+03,1.052120300000000043e+03,6.434774999999999636e+02,1.770013599999999997e+03,1.059746000000000095e+03,6.348354000000000497e+02,2.977659299999999803e+03,3.952026400000000194e+03,9.583938000000000557e+02,9.514561999999999671e+02,5.353664999999999736e+02,5.354428000000000338e+02,1.143883299999999963e+03,1.144314800000000105e+03,8.324470999999999776e+02,8.343812000000000353e+02
