w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15
1.615363000000000056e+03,8.108010000000000446e+02,7.961059999999999945e+02,1.752806000000000040e+03,7.526470000000000482e+02,7.501559999999999491e+02,3.190043000000000120e+03,3.283835999999999785e+03,9.777279999999999518e+02,1.078618999999999915e+03,5.955059999999999718e+02,5.411900000000000546e+02,1.045378999999999905e+03,1.075666999999999916e+03,6.046570000000000391e+02,5.611330000000000382e+02
1.632714999999999918e+03,8.211299999999999955e+02,7.801939999999999600e+02,1.744509000000000015e+03,7.698440000000000509e+02,7.482269999999999754e+02,3.173762000000000171e+03,3.318856999999999971e+03,9.771040000000000418e+02,1.068269000000000005e+03,5.879569999999999936e+02,5.434320000000000164e+02,1.056960000000000036e+03,1.073218000000000075e+03,6.130180000000000291e+02,5.786609999999999445e+02
1.641897999999999911e+03,8.380700000000000500e+02,7.710449999999999591e+02,1.752210000000000036e+03,7.848099999999999454e+02,7.344299999999999500e+02,3.156226999999999862e+03,3.362235999999999876e+03,9.731430000000000291e+02,1.060398999999999887e+03,5.850629999999999882e+02,5.406219999999999573e+02,1.063755000000000109e+03,1.080138999999999896e+03,6.300520000000000209e+02,5.912899999999999636e+02
1.641151000000000067e+03,8.585170000000000528e+02,7.627169999999999845e+02,1.767195999999999913e+03,8.015650000000000546e+02,7.172749999999999773e+02,3.149990999999999985e+03,3.394429999999999836e+03,9.645850000000000364e+02,1.065133000000000038e+03,5.886670000000000300e+02,5.346059999999999945e+02,1.063751999999999953e+03,1.084845000000000027e+03,6.463809999999999718e+02,6.024519999999999982e+02
1.648471999999999980e+03,8.771090000000000373e+02,7.508809999999999718e+02,1.780816000000000031e+03,8.199500000000000455e+02,7.026870000000000118e+02,3.125510000000000218e+03,3.450405000000000200e+03,9.587530000000000427e+02,1.055795000000000073e+03,5.837430000000000518e+02,5.302190000000000509e+02,1.067949000000000069e+03,1.100201999999999998e+03,6.670170000000000528e+02,6.182369999999999663e+02
1.645938000000000102e+03,8.957340000000000373e+02,7.487450000000000045e+02,1.793864000000000033e+03,8.302730000000000246e+02,6.944690000000000509e+02,3.109733000000000175e+03,3.495289999999999964e+03,9.535180000000000291e+02,1.049357999999999947e+03,5.818640000000000327e+02,5.279930000000000518e+02,1.064332000000000107e+03,1.115305000000000064e+03,6.917029999999999745e+02,6.269500000000000455e+02
1.677618999999999915e+03,8.983289999999999509e+02,7.376820000000000164e+02,1.782601000000000113e+03,8.579640000000000555e+02,6.868239999999999554e+02,3.100228999999999814e+03,3.536789999999999964e+03,9.537989999999999782e+02,1.044090999999999894e+03,5.775439999999999827e+02,5.277949999999999591e+02,1.088208000000000084e+03,1.101557999999999993e+03,6.950789999999999509e+02,6.549450000000000500e+02
1.695731999999999971e+03,9.107759999999999536e+02,7.228079999999999927e+02,1.775413000000000011e+03,8.846280000000000427e+02,6.810420000000000300e+02,3.078760000000000218e+03,3.587639000000000124e+03,9.510850000000000364e+02,1.032820999999999913e+03,5.706079999999999472e+02,5.272459999999999809e+02,1.102450000000000045e+03,1.101567000000000007e+03,7.061730000000000018e+02,6.804489999999999554e+02
1.701458000000000084e+03,9.337240000000000464e+02,7.099479999999999791e+02,1.797105000000000018e+03,9.008990000000000009e+02,6.679919999999999618e+02,3.058802000000000135e+03,3.648324000000000069e+03,9.422659999999999627e+02,1.029854000000000042e+03,5.688020000000000209e+02,5.208799999999999955e+02,1.106855999999999995e+03,1.118233999999999924e+03,7.282060000000000173e+02,6.980280000000000200e+02
1.724750000000000000e+03,9.393120000000000118e+02,6.993210000000000264e+02,1.776528000000000020e+03,9.336009999999999991e+02,6.667380000000000564e+02,3.041690000000000055e+03,3.694559999999999945e+03,9.423310000000000173e+02,1.018331999999999994e+03,5.638279999999999745e+02,5.201989999999999554e+02,1.126682000000000016e+03,1.106923000000000002e+03,7.315420000000000300e+02,7.324130000000000109e+02
